taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,occurrenceRemarks,source
alien-scheldt-checklist:taxon:8ff80dba10b976f42a64c3b30e80b1dc,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2017/,,
alien-scheldt-checklist:taxon:9141b9ba72c5f624419b4dd36996e095,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1933/,,
alien-scheldt-checklist:taxon:96f1ba70d9fbbf7e4c79ae9aa1894aa6,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2000/,,"Faasse, M.; Van Moorsel, G. (2003). The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the Western Scheldt estuary (The Netherlands). Aquatic Ecology. 37(1): 13-22."
alien-scheldt-checklist:taxon:97821cccfd70e50198c41a6ba9ea4929,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2002/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:a219950cf6f77e5829a71e0c70ac4500,ISO_3166-2:BE-VLG,Flanders,BE,present,uncertain,1996/,probably no alien but published like that,"Wolff, W.j., 2005. Non-indigenous marine and estuarine species in The Netherlands. Zool. Med. Leiden 79 (1)"
alien-scheldt-checklist:taxon:a8a0416755f76acff5e31f86f88848ca,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2014/,,
alien-scheldt-checklist:taxon:ac23d08690c941c13ca06680f92a97ed,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2012/,,
alien-scheldt-checklist:taxon:af4279693fdd1add7a08a04dc97d7848,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2014/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44.  https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:b14bf02284d3fee369c2d31b96ad5b4c,ISO_3166-2:BE-VLG,Flanders,BE,doubtful,introduced,,,
alien-scheldt-checklist:taxon:b1e04b5b70190977bbad73245dfd0ec8,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2018/2018,,"Soors, J., Breine, J., d'Acoz d'Udekem, C., Bergh, E. V. D., Meutter, F. V. D., & Terrie, T. (2020). Penaeus aztecus Ives, 1891 (Crustacea, Decapoda), in the Scheldt estuary (Belgium): Isolated record or forerunner of a penaeid invasion? Journal of Experimental Marine Biology and Ecology, 530-531. https://doi.org/10.1016/j.jembe.2020.151437"
alien-scheldt-checklist:taxon:b4e660652ee665c57d541544006a5030,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1999/,,
alien-scheldt-checklist:taxon:b5faf5450d6736c856c7e3da00ff5491,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1835/,,
alien-scheldt-checklist:taxon:bba5475fe78d882d1e138321880e67a0,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2011/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:c1f4bb18be82afe10d353afb4ea3a699,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2008/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44.  https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:c3a682c295a154ff7c033d4590e33723,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2019/,,"Soors et al, prep"
alien-scheldt-checklist:taxon:c9f9114060eabfdcec5751cb4aa0f84d,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2010/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:d0a6fba11fb4a2c7f1e82adbed52314b,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1985/,,"Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10."
alien-scheldt-checklist:taxon:d234b3d2947271943d693bae0cfddc17,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2008/,,
alien-scheldt-checklist:taxon:dd555002d968fa68fb894897a73d8f28,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1927/,,
alien-scheldt-checklist:taxon:df52689bfabe7ba0864460028ab0e35f,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2007/,,
alien-scheldt-checklist:taxon:e3b8090433cb4788ada94499d1b07e5b,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2005/,,
alien-scheldt-checklist:taxon:e4427930550df142ab1c33d646f8a78c,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,,,
alien-scheldt-checklist:taxon:e58fe697587c60c0d56cee2aad2ab863,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2008/,,"Van Ryckegem, G., & Soors, J. (2018). Tweekleppigen (Bivalvia) in de Zeeschelde: Verkennende monitoring en potentiële rol van schelpdieren in de Boven-Zeeschelde. (Rapporten van het Instituut voor Natuur- en Bosonderzoek; Nr. 99). Instituut voor Natuur- en Bosonderzoek. https://doi.org/10.21436/inbor.15559786"
alien-scheldt-checklist:taxon:eae7c4528768601d41273cbbf54a9ed4,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2009/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:ebf7119fedbfe9db6ae753f76c0ccd7c,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2007/,,
alien-scheldt-checklist:taxon:ec8180139d1510655d652ad3c6ea5c83,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2014/,,
alien-scheldt-checklist:taxon:f23876efb4ffd77930555b63c9498e6c,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2017/,,"van Haaren, T., Worsfold, T.M., Stelbrink, B., Collado, G.A., Gonçalves, I.C.B., Serra, W.S., Scarabino, F., Gittenberger, A., & Gittenberger, E., 2021. Heleobia charruana (Gastropoda,Trun catelloidea, Cochliopidae), a South American brackish water snail in northwest European estuaries. — Basteria 85 (1): 82–91. Leiden. Published 7 May 2021."
alien-scheldt-checklist:taxon:f9aa36aed006236694ebf2f3641b680f,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2006/,,https://doi.org/10.3391/ai.2013.8.1.04
alien-scheldt-checklist:taxon:fabeb38e2c9b2c30e5e866db86c95398,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1998/,,
alien-scheldt-checklist:taxon:fb5b237a25ff4bb72e8d738b19d51759,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2012/,,"Soors et al, prep"
