"scientific name","kingdom","phylum","class","order","family","genus","taxon rank","nomenclatural code","location","country code","occurrence status","origin","date first observation","date last observation","degree of establishment","introduction pathway","remarks","native range","realm","source","abundance","threat status","host","date added","added by","verified by","GBIF scientific name","GBIF matchtype","GBIF confidence","GBIF rank"
"Ficopomatus enigmaticus (Fauvel, 1923)","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Ficopomatus","species","ICZN","Flanders","BE","present","introduced","2015",NA,"casual","stowaway_ballast_water",NA,"Pacific ocean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Ficopomatus enigmaticus (Fauvel, 1923)","EXACT",99,"SPECIES"
"Gammarus tigrinus Sexton, 1939","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","species","ICZN","Flanders","BE","present","introduced","2005",NA,"established","stowaway_ballast_water","other intentional release","Northern America","estuarine","Van den Neucker, T., Van den Neucker, M., Soors, J., Stevens, M., & Coeck, J. (2009). Garnalen en krabben op de rand van brak en zoet in de Zeeschelde. De Strandvlo: Driemaandelijks Tijdschrift van De Strandwerkgroep België, 29(4), 128-133.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Gammarus tigrinus Sexton, 1939","EXACT",100,"SPECIES"
"Girardia tigrina","Animalia","Platyhelminthes","Rhabditophora","Seriata","Dugesiidae","Dugesia","species","ICZN","Flanders","BE","present","introduced","2008",NA,"casual","escape_aquaculture",NA,"Northern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Girardia tigrina (Girard, 1850)","EXACT",98,"SPECIES"
"Grandidierella japonica","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Grandidierella","species","ICZN","Flanders","BE","present","introduced","2019",NA,"colonizing","stowaway_ballast_water",NA,"Asia","estuarine","Soors et al, prep",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Grandidierella japonica Stephensen, 1938","EXACT",98,"SPECIES"
"Heleobia charruana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colonizing","stowaway_ballast_water",NA,"Southern America","estuarine","van Haaren, T., Worsfold, T.M., Stelbrink, B., Collado, G.A., Gonçalves, I.C.B., Serra, W.S., Scarabino, F., Gittenberger, A., & Gittenberger, E., 2021. Heleobia charruana (Gastropoda,Trun catelloidea, Cochliopidae), a South American brackish water snail in northwest European estuaries. — Basteria 85 (1): 82–91. Leiden. Published 7 May 2021.",NA,NA,NA,NA,NA,NA,"Heleobia charruana (d'Orbigny, 1840)","EXACT",98,"SPECIES"
"Hemigrapsus sanguineus","Animalia","Arthropoda","Malacostraca","Decapoda","Grapsidae","Hemigrapsus","species","ICZN","Flanders","BE","present","introduced","2015",NA,"casual","release_fishery",NA,"Asia","estuarine",NA,NA,NA,NA,"2020-07-07","Jan Soors",NA,"Hemigrapsus sanguineus (De Haan, 1835)","EXACT",98,"SPECIES"
"Hemigrapsus takanoi","Animalia","Arthropoda","Malacostraca","Decapoda","Grapsidae","Hemigrapsus","species","ICZN","Flanders","BE","present","introduced","2007",NA,"established","release_fishery | escape_aquaculture",NA,"Asia","estuarine","Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Hemigrapsus takanoi Asakura & Watanabe, 2005","EXACT",98,"SPECIES"
"Hemimysis anomala Sars, 1907","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Hemimysis","species","ICZN","Flanders","BE","present","introduced","2014",NA,"casual","release_fishery",NA,"Ponto-caspian","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Hemimysis anomala G.O.Sars, 1907","EXACT",100,"SPECIES"
"Incisocalliope aestuarius (Watling and Maurer, 1973)","Animalia","Arthropoda","Malacostraca","Amphipoda","Pleustidae","Incisocalliope","species","ICZN","Flanders","BE","present","introduced","1996",NA,"casual","stowaway_ballast_water | stowaway_hull_fouling",NA,"Northern America","estuarine","Faasse, M.; Van Moorsel, G. (2003). The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the Western Scheldt estuary (The Netherlands). Aquatic Ecology. 37(1): 13-22.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Incisocalliope aestuarius (Watling & Maurer, 1973)","EXACT",99,"SPECIES"
"Laonome xeprovala","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Laonome","species","ICZN","Flanders","BE","present","introduced","2017",NA,"casual","stowaway_ship",NA,"unknown","estuarine",NA,NA,NA,NA,"2020-07-06","Jan Soors",NA,"Laonome xeprovala Bick & Bastrop, 2018","EXACT",98,"SPECIES"
"Limnodrilus cervix","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Limnodrilus","species","ICZN","Flanders","BE","present","introduced","2009",NA,"casual","stowaway",NA,"Northern America","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Limnodrilus cervix Brinkhurst, 1963","EXACT",98,"SPECIES"
"Limnodrilus maumeensis","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Limnodrilus","species","ICZN","Flanders","BE","present","introduced","2014",NA,"casual","stowaway",NA,"Northern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Limnodrilus maumeensis Brinkhurst & Cook, 1966","EXACT",98,"SPECIES"
